0 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Graph@1da51a35 created.
44 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Core #3#0 creation (Pod #0 Agg #1 -> Core #3) in Graph@134593bf triggered.
44 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Core #3#1 creation (Pod #0 Agg #1 -> Core #3) in Graph@134593bf triggered.
44 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Core #3#2 creation (Pod #0 Agg #1 -> Core #3) in Graph@134593bf triggered.
44 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Core #3#3 creation (Pod #0 Agg #1 -> Core #3) in Graph@134593bf triggered.
44 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Agg #1->Core #3 (NetworkNode@2f490758 -> NetworkNode@7f416310 - PriorityScheduler@6d2a209c - 4 queues) creation in Network@4bb4de6a triggered.
44 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Agg #1 creation (Pod #0 Edge #0 -> Pod #0 Agg #1) in Graph@1da51a35 triggered.
45 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Agg #1#0 creation (Pod #0 Edge #0 -> Pod #0 Agg #1) in Graph@134593bf triggered.
45 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Agg #1#1 creation (Pod #0 Edge #0 -> Pod #0 Agg #1) in Graph@134593bf triggered.
45 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Agg #1#2 creation (Pod #0 Edge #0 -> Pod #0 Agg #1) in Graph@134593bf triggered.
45 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Agg #1#3 creation (Pod #0 Edge #0 -> Pod #0 Agg #1) in Graph@134593bf triggered.
45 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Edge #0->Pod #0 Agg #1 (NetworkNode@3439f68d -> NetworkNode@2f490758 - PriorityScheduler@5cee5251 - 4 queues) creation in Network@4bb4de6a triggered.
45 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Pod #0 Edge #0 creation (Pod #0 Agg #1 -> Pod #0 Edge #0) in Graph@1da51a35 triggered.
45 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Pod #0 Edge #0#0 creation (Pod #0 Agg #1 -> Pod #0 Edge #0) in Graph@134593bf triggered.
45 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Pod #0 Edge #0#1 creation (Pod #0 Agg #1 -> Pod #0 Edge #0) in Graph@134593bf triggered.
45 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Pod #0 Edge #0#2 creation (Pod #0 Agg #1 -> Pod #0 Edge #0) in Graph@134593bf triggered.
46 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Pod #0 Edge #0#3 creation (Pod #0 Agg #1 -> Pod #0 Edge #0) in Graph@134593bf triggered.
46 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Agg #1->Pod #0 Edge #0 (NetworkNode@2f490758 -> NetworkNode@3439f68d - PriorityScheduler@5be6e01c - 4 queues) creation in Network@4bb4de6a triggered.
46 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #1->Pod #0 Agg #1 creation (Pod #0 Edge #1 -> Pod #0 Agg #1) in Graph@1da51a35 triggered.
46 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #1->Pod #0 Agg #1#0 creation (Pod #0 Edge #1 -> Pod #0 Agg #1) in Graph@134593bf triggered.
46 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #1->Pod #0 Agg #1#1 creation (Pod #0 Edge #1 -> Pod #0 Agg #1) in Graph@134593bf triggered.
46 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #1->Pod #0 Agg #1#2 creation (Pod #0 Edge #1 -> Pod #0 Agg #1) in Graph@134593bf triggered.
46 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #1->Pod #0 Agg #1#3 creation (Pod #0 Edge #1 -> Pod #0 Agg #1) in Graph@134593bf triggered.
46 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Edge #1->Pod #0 Agg #1 (NetworkNode@58a90037 -> NetworkNode@2f490758 - PriorityScheduler@4a22f9e2 - 4 queues) creation in Network@4bb4de6a triggered.
47 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Pod #0 Edge #1 creation (Pod #0 Agg #1 -> Pod #0 Edge #1) in Graph@1da51a35 triggered.
